"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"California",1,,2500,2500,2500,2500,2500,2500,2400,2350,2350,2400,2000,2050,2050,2100,2095,2000,1995,1950,1900,1895,1850,1850,1805,1850,1900,1840,1800,1850,1800,1800,1800,1795,1795,1750,1750,1750,1775,1750,1750,1781,1800,1750,1850,1850,1799,1850,1850,1800,1800,1800,1995,1995,2000,2000,2000,2000,2050,2082.5,2100,2100,2100,2200,2250,2290,2295,2300,2300,2295,2300,2300,2300,2375,2400,2400,2400,2405,2500,2400,2447.5,2395,2400,2350,2481.5,2500,2600,2650,2700,2700,2750,2750,2700,2700,2690,2695,2700,2700,2750,2800,2800,2835,2848.5,2850,2800,2795
"Texas",2,1200,1200,1297.5,1250,1275,1300,1300,1250,1250,1250,1250,1250,1200,1200,1200,1250,1250,1200,1195,1195,1175,1195,1195,1200,1200,1210,1200,1200,1209.5,1200,1200,1200,1195,1225,1234,1250,1235,1250,1250,1280,1250,1295,1270,1275,1275,1295,1295,1295,1269,1269,1295,1325,1350,1350,1350,1350,1349,1335,1345,1350,1350,1375,1395,1400,1400,1400,1400,1395,1395,1400,1395,1399,1400,1445,1450,1450,1435,1449,1430,1415,1400,1400,1395,1419.5,1450,1450,1495,1500,1500,1500,1495,1495,1450,1450,1450,1475,1495,1500,1500,1510,1545,1545,1525,1500,1500
"New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,2800,2700,2700,2700,2700,2750,2750,2800,2800,2800,2850,2900,2850,2800,2800,2800,2799,2800,2850,2950,2995,2995,2925,2995,3000,3066,2995,2700,2700,2599,2600,2700,2799,2800,2800,2753.5,2795,2650,2600,2600,2500,2550,2575,2695,2795,2795,2799,2750,2650,2600
"Florida",4,,1450,1495,1450,1525,1300,1300,1350,1350,1350,1400,1400,1495,1490,1500,1499,1500,1500,1500,1500,1500,1490,1490,1425,1475,1500,1500,1500,1500,1500,1500,1495,1495,1495,1450,1400,1450,1490,1495,1495,1470,1518.5,1500,1550,1595,1600,1600,1595,1550,1505,1505,1600,1595,1600,1590,1600,1575,1550,1525,1500,1550,1595,1575,1600,1600,1629,1650,1625,1650,1650,1650,1675,1700,1750,1700,1700,1696,1650,1600,1650,1650,1750,1600,1650,1700,1700,1750,1750,1775,1795,1800,1800,1800,1800,1800,1800,1800,1840,1850,1850,1850,1850,1850,1849,1830
"Illinois",5,1600,1600,1600,1500,1500,1600,1600,1600,1650,1650,1600,1560,1600,1625,1700,1747.5,1675,1695,1695,1650,1600,1525,1500,1500,1595,1600,1575,1575,1600,1600,1600,1595,1595,1500,1540,1500,1525,1600,1570,1625,1625,1690,1625,1600,1600,1599,1600,1575,1575,1595,1600,1699,1765,1800,1700,1700,1675,1600,1575,1579,1600,1675,1700,1750,1750,1790,1719,1700,1690,1700,1645,1600,1650,1650,1700,1750,1800,1800,1750,1700,1625,1599,1595,1595,1600,1694,1800,1850,1859.5,1850,1800,1775,1700,1680,1675,1695,1720,1800,1890,1900,1950,1950,1895,1800,1795
"Pennsylvania",6,1350,1390,1450,1425,1350,1350,1350,1350,1350,1350,1300,1250,1250,1295,1350,1350,1300,1300,1300,1295,1250,1250,1250,1245,1275,1300,1350,1350,1350,1350,1300,1250,1250,1250,1200,1207.5,1295,1300,1350,1400,1395,1350,1300,1295,1250,1250,1250,1250,1225,1250,1275,1375,1375,1375,1350,1300,1295,1280,1295,1299,1300,1350,1400,1400,1400,1400,1380,1350,1300,1300,1295,1300,1300,1395,1400,1425,1399,1350,1350,1300,1295,1299,1257,1299,1300,1350,1400,1400,1425,1400,1355,1350,1325,1350,1330,1350,1350,1400,1450,1450,1450,1400,1400,1385,1395
"Ohio",7,,1200,1162.5,1150,1200,1200,1200,1000,1000,1000,1000,899,896,895,950,995,950,975,950,950,929,925,897,937.5,929,940,850,850,875,850,895,879,875,900,850,850,850,875,890,895,900,875,896,995,995,900,1000,950,900,900,900,1000,998,995,995,995,975,975,985,985,995,1025,1050,1075,1095,1025,1013,1000,1000,1050,1000,1000,1000,1095,1100,1059,1050,1075,1050,1000,975,1000,975,999,995,1050,1100,1100,1095,1070.5,1050,1050,1050,1025,1000,1000,1025,1095,1150,1115,1125,1100,1100,1100,1100
"Michigan",8,,,,,,,,,,,,,,,,,,,,,,895,900,900,900,950,950,950,925,925,950,950,950,950,900,850,900,900,900,900,950,945,1000,1050,998,975,1000,1000,1000,1000,1000,1100,1100,1050,1050,1100,1099.5,1050,1050,1050,1050,1100,1100,1150,1199,1187.5,1195,1200,1200,1200,1200,1190,1125,1190,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1162.5,1200,1200,1200,1249,1200,1200,1150,1100,1100,1069,1090,1099,1200,1250,1250,1275,1250,1200,1200,1250
"Georgia",9,1037.5,1075,1100,1100,1100,1100,1100,1100,1000,1000,1050,1000,1000,1000,1050,1050,1050,1000,1000,1000,995,995,994,975,995,999,995,995,995,995,995,995,976,975,975,975,975,990,995,999,999,1000,1000,1000,999,995,995,999,995,999,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1050,1095,1100,1100,1100,1080,1050,1050,1090,1075,1095,1100,1100,1125,1150,1150,1160,1150,1150,1150,1160,1150,1195,1200,1200,1250,1250,1265,1275,1250,1250,1250,1250,1250,1250,1250,1298,1328,1350,1350,1350,1350,1314,1335
"North Carolina",10,995,975,995,1000,1000,1000,1050,1050,1000,1000,1004,995,995,995,1000,1000,1000,1000,995,999,995,995,995,995,995,1000,1000,1000,1000,1000,995,995,995,995,995,995,998,1000,1000,1048.5,1049,1050,1050,1000,1000,1000,1000,1000,999,1000,1000,1050,1050,1040,1025,1000,1000,1000,1000,1025,1050,1075,1100,1100,1095,1095,1060,1050,1050,1062.5,1050,1054.5,1095,1100,1107,1125,1145,1150,1145,1145,1100,1100,1100,1150,1175,1195,1200,1225,1234.5,1250,1225,1245,1230,1250,1250,1250,1250,1289,1300,1310,1325,1300,1300,1300,1324
"New Jersey",11,,,,,,,,,,,,,,,,,,,,,,,2400,2400,2500,2650,2600,2500,2400,2400,2275,2100,2100,2200,2000,2000,2200,2300,2400,2400,1970,2000,1950,1900,1895,1850,1921,1900,1900,1850,1899,2000,2000,2000,2000,2100,2100,2000,1850,1900,1975,1995,2000,2100,2000,2100,2000,1950,1975,1990,1995,2000,2100,2100,2100,2000,2195,2100,2000,2000,2000,2000,2000,2000,2000,2000,2100,2182.5,2200,2200,2100,2100,2100,2100,2050,2050,2100,2190,2200,2200,2200,2200,2200,2175,2199
